utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
6102,6102,MOT,Liz,9,shoes ?,shoes ?,1,1,1,1,1,1,1,Liz/020202.cha,2893,26.067,bring them back please .,because they're Anna's . bring them back please .,no I think we needta leave them here . because they're Anna's . bring them back please .
6103,6103,MOT,Liz,9,yeah bring them back darling .,yeah bring them back darling .,5,5,6,6,6,6,5,Liz/020202.cha,2899,26.067,shoes ?,bring them back please . shoes ?,because they're Anna's . bring them back please . shoes ?
6104,6104,MOT,Liz,9,shoes ?,shoes ?,1,1,1,1,1,1,1,Liz/020202.cha,2911,26.067,yeah bring them back darling .,shoes ? yeah bring them back darling .,bring them back please . shoes ? yeah bring them back darling .
6105,6105,MOT,Liz,9,okay .,okay .,1,1,2,2,3,2,1,Liz/020202.cha,2923,26.067,shoes ?,yeah bring them back darling . shoes ?,shoes ? yeah bring them back darling . shoes ?
6106,6106,MOT,Liz,9,couldn't .,couldn't .,1,2,1,1,1,1,1,Liz/020202.cha,2935,26.067,okay .,shoes ? okay .,yeah bring them back darling . shoes ? okay .
6107,6107,MOT,Liz,9,you couldn't what ?,you couldn't what ?,3,4,3,3,3,3,3,Liz/020202.cha,2941,26.067,couldn't .,okay . couldn't .,shoes ? okay . couldn't .
6108,6108,MOT,Liz,9,why are you putting them in there Liz ?,why are you putting them in there Liz ?,8,8,9,10,9,9,8,Liz/020202.cha,2947,26.067,you couldn't what ?,couldn't . you couldn't what ?,okay . couldn't . you couldn't what ?
6109,6109,MOT,Liz,9,okay .,okay .,1,1,2,2,3,2,1,Liz/020202.cha,2965,26.067,why are you putting them in there Liz ?,you couldn't what ? why are you putting them in there Liz ?,couldn't . you couldn't what ? why are you putting them in there Liz ?
6110,6110,MOT,Liz,9,"is that it , is it ?",is that it is it ?,5,6,5,5,5,5,5,Liz/020202.cha,2971,26.067,okay .,why are you putting them in there Liz ? okay .,you couldn't what ? why are you putting them in there Liz ? okay .
6111,6111,MOT,Liz,9,shall we play with these here ?,shall we play with these here ?,6,6,6,8,7,6,6,Liz/020202.cha,2974,26.067,is that it is it ?,okay . is that it is it ?,why are you putting them in there Liz ? okay . is that it is it ?
6112,6112,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2980,26.067,shall we play with these here ?,is that it is it ? shall we play with these here ?,okay . is that it is it ? shall we play with these here ?
6113,6113,MOT,Liz,9,okay .,okay .,1,1,2,2,3,2,1,Liz/020202.cha,2983,26.067,yeah .,shall we play with these here ? yeah .,is that it is it ? shall we play with these here ? yeah .
6114,6114,MOT,Liz,9,put this big long one +/.,put this big long one .,5,6,5,5,5,5,5,Liz/020202.cha,2986,26.067,okay .,yeah . okay .,shall we play with these here ? yeah . okay .
6115,6115,MOT,Liz,9,oh .,oh .,1,1,1,1,1,1,1,Liz/020202.cha,2989,26.067,put this big long one .,okay . put this big long one .,yeah . okay . put this big long one .
6116,6116,MOT,Liz,9,that was a big drop down onto your bum .,that was a big drop down onto your bum .,9,10,10,10,10,10,9,Liz/020202.cha,2992,26.067,oh .,put this big long one . oh .,okay . put this big long one . oh .
6117,6117,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2998,26.067,that was a big drop down onto your bum .,oh . that was a big drop down onto your bum .,put this big long one . oh . that was a big drop down onto your bum .
6118,6118,MOT,Liz,9,oh: .,oh .,1,1,1,1,1,1,1,Liz/020202.cha,3001,26.067,yeah .,that was a big drop down onto your bum . yeah .,oh . that was a big drop down onto your bum . yeah .
6119,6119,MOT,Liz,9,is that good fun ?,is that good fun ?,4,4,4,4,4,4,4,Liz/020202.cha,3004,26.067,oh .,yeah . oh .,that was a big drop down onto your bum . yeah . oh .
6120,6120,MOT,Liz,9,do you wanna do something different ?,do you wanna do something different ?,6,6,11,11,11,11,6,Liz/020202.cha,3007,26.067,is that good fun ?,oh . is that good fun ?,yeah . oh . is that good fun ?
6121,6121,MOT,Liz,9,what do you wanna do ?,what do you wanna do ?,5,5,6,6,6,6,5,Liz/020202.cha,3013,26.067,do you wanna do something different ?,is that good fun ? do you wanna do something different ?,oh . is that good fun ? do you wanna do something different ?
6122,6122,MOT,Liz,9,the clown ?,the clown ?,2,2,2,2,2,2,2,Liz/020202.cha,3022,26.067,what do you wanna do ?,do you wanna do something different ? what do you wanna do ?,is that good fun ? do you wanna do something different ? what do you wanna do ?
6123,6123,MOT,Liz,9,okay .,okay .,1,1,2,2,3,2,1,Liz/020202.cha,3025,26.067,the clown ?,what do you wanna do ? the clown ?,do you wanna do something different ? what do you wanna do ? the clown ?
6124,6124,MOT,Liz,9,let's see if we can find the clown .,let's see if we can find the clown .,8,9,8,8,8,8,8,Liz/020202.cha,3028,26.067,okay .,the clown ? okay .,what do you wanna do ? the clown ? okay .
6125,6125,MOT,Liz,9,unfortunately I think they've got a bit squonked@n .,unfortunately I think they've got a bit .,7,11,12,13,12,12,7,Liz/020202.cha,3034,26.067,let's see if we can find the clown .,okay . let's see if we can find the clown .,the clown ? okay . let's see if we can find the clown .
6126,6126,MOT,Liz,9,one two three four .,one two three four .,4,4,4,4,4,4,4,Liz/020202.cha,3037,26.067,unfortunately I think they've got a bit .,let's see if we can find the clown . unfortunately I think they've got a bit .,okay . let's see if we can find the clown . unfortunately I think they've got a bit .
6127,6127,MOT,Liz,9,five .,five .,1,1,1,2,1,1,1,Liz/020202.cha,3040,26.067,one two three four .,unfortunately I think they've got a bit . one two three four .,let's see if we can find the clown . unfortunately I think they've got a bit . one two three four .
6128,6128,MOT,Liz,9,we've got five bits of train but there should be six .,we've got five bits of train but there should be six .,11,13,11,14,11,11,11,Liz/020202.cha,3043,26.067,five .,one two three four . five .,unfortunately I think they've got a bit . one two three four . five .
6129,6129,MOT,Liz,9,what's that ?,what's that ?,2,3,2,2,2,2,2,Liz/020202.cha,3046,26.067,we've got five bits of train but there should be six .,five . we've got five bits of train but there should be six .,one two three four . five . we've got five bits of train but there should be six .
6130,6130,MOT,Liz,9,oh no that's +...,oh no that's .,3,5,3,3,3,3,3,Liz/020202.cha,3049,26.067,what's that ?,we've got five bits of train but there should be six . what's that ?,five . we've got five bits of train but there should be six . what's that ?
6131,6131,MOT,Liz,9,www .,.,0,0,0,0,0,0,0,Liz/020202.cha,3052,26.067,oh no that's .,what's that ? oh no that's .,we've got five bits of train but there should be six . what's that ? oh no that's .
6132,6132,MOT,Liz,9,yeah I'm just gonna [: going to] see if I can find the other piece for you because that's only five .,yeah I'm just gonna see if I can find the other piece for you because that's only five .,18,21,22,25,22,22,18,Liz/020202.cha,3057,26.067,.,oh no that's . .,what's that ? oh no that's . .
